id,llm,P,R,F,hash
4744_9,ibm-granite/granite-8b-code-base,0.9868746399879456,0.9849138259887695,0.9858933091163635,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
55393_3,google/codegemma-7b,0.9625869989395142,0.9534194469451904,0.957981288433075,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
55393_3,meta-llama/CodeLlama-7b-hf,0.9551682472229004,0.9466580152511597,0.9508940577507019,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
55393_3,Qwen/CodeQwen1.5-7B,0.966057300567627,0.958959698677063,0.9624954462051392,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
55393_3,bigcode/starcoder2-7b,0.9702377915382385,0.9622054100036621,0.9662049412727356,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
55393_3,ibm-granite/granite-8b-code-base,0.9785551428794861,0.9718993306159973,0.9752158522605896,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
44589_2,google/codegemma-7b,0.9559256434440613,0.9555404186248779,0.9557329416275024,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
44589_2,meta-llama/CodeLlama-7b-hf,0.9575493931770325,0.9538599252700806,0.9557010531425476,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
44589_2,Qwen/CodeQwen1.5-7B,0.9688702821731567,0.965080976486206,0.9669719338417053,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
44589_2,bigcode/starcoder2-7b,0.9217625856399536,0.9115098714828491,0.9166075587272644,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
