id,llm,bart_score_forward,bart_score_reverse,bart_score_avg
20619_9,meta-llama/CodeLlama-7b-hf,-2.5427961349487305,-2.3062994480133057,-2.424547791481018
20619_9,Qwen/CodeQwen1.5-7B,-2.8757152557373047,-2.3576722145080566,-2.6166937351226807
20619_9,bigcode/starcoder2-7b,-2.559549331665039,-2.4106497764587402,-2.4850995540618896
20619_9,ibm-granite/granite-8b-code-base,-3.459918737411499,-2.9469900131225586,-3.203454375267029
21019_2,google/codegemma-7b,-3.5722334384918213,-3.383636474609375,-3.477934956550598
21019_2,meta-llama/CodeLlama-7b-hf,-4.4478535652160645,-6.747724533081055,-5.59778904914856
21019_2,Qwen/CodeQwen1.5-7B,-3.9006831645965576,-6.413999557495117,-5.157341361045837
21019_2,bigcode/starcoder2-7b,-4.210215091705322,-2.923450469970703,-3.5668327808380127
21019_2,ibm-granite/granite-8b-code-base,-4.772347927093506,-6.385171413421631,-5.578759670257568
22558_12,google/codegemma-7b,-6.175524711608887,-6.415249824523926,-6.295387268066406
22558_12,meta-llama/CodeLlama-7b-hf,-6.511210918426514,-7.349853515625,-6.930532217025757
22558_12,Qwen/CodeQwen1.5-7B,-8.67496395111084,-2.578087091445923,-5.626525521278381
22558_12,bigcode/starcoder2-7b,-7.668618679046631,-3.7824227809906006,-5.725520730018616
22558_12,ibm-granite/granite-8b-code-base,-8.00348949432373,-3.2220892906188965,-5.6127893924713135
24100_9,google/codegemma-7b,-1.4861319065093994,-1.6977052688598633,-1.5919185876846313
24100_9,meta-llama/CodeLlama-7b-hf,-3.0026307106018066,-9.044689178466797,-6.023659944534302
24100_9,Qwen/CodeQwen1.5-7B,-1.4670814275741577,-1.4670814275741577,-1.4670814275741577
24100_9,bigcode/starcoder2-7b,-1.4670814275741577,-1.4670814275741577,-1.4670814275741577
24100_9,ibm-granite/granite-8b-code-base,-1.4670814275741577,-1.4670814275741577,-1.4670814275741577
25044_13,google/codegemma-7b,-3.039853096008301,-2.8910017013549805,-2.9654273986816406
25044_13,meta-llama/CodeLlama-7b-hf,-1.4001579284667969,-10.772201538085938,-6.086179733276367
25044_13,Qwen/CodeQwen1.5-7B,-0.6090589165687561,-5.079283714294434,-2.844171315431595
25044_13,bigcode/starcoder2-7b,-0.6090589165687561,-5.079283714294434,-2.844171315431595
25044_13,ibm-granite/granite-8b-code-base,-0.6151050329208374,-5.191405773162842,-2.9032554030418396
25245_0,google/codegemma-7b,-2.385451078414917,-3.9623539447784424,-3.1739025115966797
25245_0,meta-llama/CodeLlama-7b-hf,-3.8476319313049316,-5.813984394073486,-4.830808162689209
25245_0,Qwen/CodeQwen1.5-7B,-3.1221516132354736,-11.275163650512695,-7.1986576318740845
25245_0,bigcode/starcoder2-7b,-4.2931132316589355,-5.284186363220215,-4.788649797439575
25245_0,ibm-granite/granite-8b-code-base,-4.8282246589660645,-5.630211353302002,-5.229218006134033
25670_6,google/codegemma-7b,-1.4179021120071411,-2.0824904441833496,-1.7501962780952454
25670_6,meta-llama/CodeLlama-7b-hf,-3.1994338035583496,-1.5291986465454102,-2.36431622505188
25670_6,Qwen/CodeQwen1.5-7B,-3.2273104190826416,-2.1359710693359375,-2.6816407442092896
25670_6,bigcode/starcoder2-7b,-3.229417562484741,-3.229416608810425,-3.229417085647583
25670_6,ibm-granite/granite-8b-code-base,-3.229417562484741,-3.229416608810425,-3.229417085647583
26033_2,google/codegemma-7b,-2.820350408554077,-5.4368767738342285,-4.128613591194153
26033_2,meta-llama/CodeLlama-7b-hf,-2.768430709838867,-5.467179298400879,-4.117805004119873
26033_2,Qwen/CodeQwen1.5-7B,-2.7153401374816895,-6.542276859283447,-4.628808498382568
26033_2,bigcode/starcoder2-7b,-2.5329537391662598,-5.945597171783447,-4.2392754554748535
26033_2,ibm-granite/granite-8b-code-base,-2.545025110244751,-6.246013641357422,-4.395519375801086
27718_2,google/codegemma-7b,-0.02051875926554203,-0.0003277217911090702,-0.01042324052832555
27718_2,meta-llama/CodeLlama-7b-hf,-0.6344832181930542,-7.665458679199219,-4.1499709486961365
27718_2,Qwen/CodeQwen1.5-7B,-0.0030719302594661713,-0.0008306365925818682,-0.0019512834260240197
27718_2,bigcode/starcoder2-7b,-8.640987653052434e-05,-0.00029976750374771655,-0.00019308869013912044
27718_2,ibm-granite/granite-8b-code-base,-0.5152742266654968,-9.015682220458984,-4.765478223562241
29683_0,google/codegemma-7b,-5.633252143859863,-4.444734258868266e-06,-2.816628294297061
29683_0,meta-llama/CodeLlama-7b-hf,-5.8777313232421875,-4.500069735513534e-06,-2.9388679116559615
29683_0,Qwen/CodeQwen1.5-7B,-5.766762733459473,-0.8855083584785461,-3.3261355459690094
29683_0,bigcode/starcoder2-7b,-5.875391960144043,-3.9487454159825575e-06,-2.9376979544447295
29683_0,ibm-granite/granite-8b-code-base,-6.500245094299316,-6.341833795886487e-06,-3.250125718066556
36167_11,google/codegemma-7b,-2.0219223499298096,-2.0610644817352295,-2.0414934158325195
36167_11,meta-llama/CodeLlama-7b-hf,-1.805671215057373,-1.5843682289123535,-1.6950197219848633
36167_11,Qwen/CodeQwen1.5-7B,-1.7132736444473267,-1.6796600818634033,-1.696466863155365
36167_11,bigcode/starcoder2-7b,-1.7132736444473267,-1.7132734060287476,-1.713273525238037
36167_11,ibm-granite/granite-8b-code-base,-1.7132736444473267,-1.7132734060287476,-1.713273525238037
37469_36,google/codegemma-7b,-3.74741792678833,-2.213332414627075,-2.9803751707077026
37469_36,meta-llama/CodeLlama-7b-hf,-3.933953285217285,-2.3341283798217773,-3.1340408325195312
37469_36,Qwen/CodeQwen1.5-7B,-4.001230716705322,-2.5575897693634033,-3.279410243034363
37469_36,bigcode/starcoder2-7b,-3.837064027786255,-2.6911323070526123,-3.2640981674194336
37469_36,ibm-granite/granite-8b-code-base,-3.2400622367858887,-2.751115322113037,-2.995588779449463
41189_2,google/codegemma-7b,-2.8999133110046387,-2.154395341873169,-2.527154326438904
41189_2,meta-llama/CodeLlama-7b-hf,-4.324697494506836,-3.1629698276519775,-3.7438336610794067
41189_2,Qwen/CodeQwen1.5-7B,-2.3737027645111084,-2.7504982948303223,-2.5621005296707153
41189_2,bigcode/starcoder2-7b,-2.54484486579895,-2.242417097091675,-2.3936309814453125
